Date,HomeTeam,AwayTeam,FTHG,FTAG
2016-01-17,Getafe,Espanol,3,1
2016-01-17,Las Palmas,Ath Madrid,0,3
2016-01-17,Real Madrid,Sp Gijon,5,1
2016-01-17,Valencia,Vallecano,2,2
2016-01-18,Eibar,Granada,5,1
2016-01-22,Sp Gijon,Sociedad,5,1
2016-01-23,Espanol,Villarreal,2,2
2016-01-23,Granada,Getafe,3,2
2016-01-23,Malaga,Barcelona,1,2
2016-01-23,Vallecano,Celta,3,0
2016-01-24,Ath Bilbao,Eibar,5,2
2016-01-24,Ath Madrid,Sevilla,0,0
2016-01-24,Betis,Real Madrid,1,1
2016-01-24,La Coruna,Valencia,1,1
2016-01-25,Levante,Las Palmas,3,2
2016-01-30,Barcelona,Ath Madrid,2,1
2016-01-30,Eibar,Malaga,1,2
2016-01-30,Getafe,Ath Bilbao,0,1
2016-01-30,Sociedad,Betis,2,1
2016-01-30,Villarreal,Granada,1,0
2016-01-31,Las Palmas,Celta,2,1
2016-01-31,Real Madrid,Espanol,6,0
2016-01-31,Sevilla,Levante,3,1
2016-01-31,Valencia,Sp Gijon,0,1
2016-02-01,La Coruna,Vallecano,2,2
2016-02-05,Malaga,Getafe,3,0
2016-02-06,Ath Bilbao,Villarreal,0,0
2016-02-06,Ath Madrid,Eibar,3,1
2016-02-06,Sp Gijon,La Coruna,1,1
2016-02-06,Vallecano,Las Palmas,2,0
2016-02-07,Betis,Valencia,1,0
2016-02-07,Celta,Sevilla,1,1
2016-02-07,Granada,Real Madrid,1,2
2016-02-07,Levante,Barcelona,0,2
2016-02-08,Espanol,Sociedad,0,5
2016-02-12,Sp Gijon,Vallecano,2,2
2016-02-13,La Coruna,Betis,2,2
2016-02-13,Real Madrid,Ath Bilbao,4,2
2016-02-13,Valencia,Espanol,2,1
2016-02-13,Villarreal,Malaga,1,0
2016-02-14,Barcelona,Celta,6,1
2016-02-14,Eibar,Levante,2,0
2016-02-14,Getafe,Ath Madrid,0,1
2016-02-14,Sevilla,Las Palmas,2,0
2016-02-14,Sociedad,Granada,3,0
2016-02-17,Sp Gijon,Barcelona,1,3
